Block,Area_m2,MeanDepth_m,Volume_m3
Block-380,9600.0,7.22,74466.3
Block-381,900.0,6.46,5902.2
Block-382,9200.0,1.93,22194.0
Block-383,8500.0,5.75,47583.7
Block-384,4000.0,8.65,34401.3
Block-385,1800.0,5.23,9147.0
Block-386,4900.0,7.42,35021.4
Block-387,2100.0,10.06,21935.6
Block-388,1200.0,3.23,3817.5
Block-389,4600.0,1.19,7234.2
Block-390,39900.0,12.64,500149.4
Block-391,25800.0,10.69,280288.4
Block-392,2000.0,6.94,14087.2
Block-393,200500.0,7.39,1518848.7
Block-394,900.0,3.55,3325.7
Block-395,35600.0,2.96,146980.5
Block-396,4100.0,8.64,34298.5
Block-397,6800.0,6.72,54471.4
Block-398,900.0,3.45,3029.1
Block-399,4100.0,8.2,33327.9
Block-400,4800.0,6.28,32642.9
Block-401,3300.0,7.61,24618.6
Block-402,16700.0,9.25,164852.4
Block-403,1200.0,4.47,5229.6
Block-404,900.0,3.97,3477.3
Block-405,900.0,4.1,3695.3
Block-406,4200.0,8.23,32958.5
Block-407,1200.0,5.63,6657.9
Block-408,3900.0,4.47,16812.2
Block-409,17400.0,7.31,124557.3
Block-410,900.0,3.3,2964.3
Block-411,1700.0,3.06,5529.6
Block-412,2500.0,5.79,14733.5
Block-413,900.0,3.86,3539.7
Block-414,6900.0,5.37,35112.0
Block-415,4300.0,8.57,36164.9
Block-416,1800.0,4.29,7788.2
Block-417,6800.0,8.75,59584.2
Block-418,900.0,4.52,4122.1
Block-419,1200.0,5.11,6066.3
Block-420,900.0,4.5,3969.8
Block-421,900.0,5.07,4517.9
Block-422,1200.0,3.83,4557.1
Block-423,1700.0,6.95,12254.6
Block-424,900.0,3.13,2878.8
Block-425,41700.0,13.01,526941.7
Block-426,46300.0,17.06,719375.7
Block-427,1200.0,4.97,6054.9
Block-428,3800.0,9.36,32596.9
Block-429,7000.0,13.58,94625.1
Block-430,900.0,5.0,4472.4
Block-431,4800.0,8.85,39082.7
Block-432,38400.0,12.08,520133.4
Block-433,1200.0,2.33,2892.8
Block-434,15200.0,11.31,173364.3
Block-435,7300.0,5.12,37092.6
Block-436,49700.0,22.18,1026244.8
Block-437,11800.0,5.95,68403.2
Block-438,15900.0,13.02,199608.2
Block-439,3900.0,6.77,24951.4
Block-440,4400.0,7.17,30666.6
Block-441,3900.0,6.83,26034.1
Block-442,7000.0,6.92,51009.5
Block-443,900.0,4.03,3477.4
Block-444,8800.0,8.77,74332.9
Block-445,3000.0,9.69,28745.2
Block-446,1900.0,5.01,9643.2
Block-447,62000.0,10.27,641062.8
Block-448,1200.0,6.84,8156.1
Block-449,2900.0,5.57,16272.4
Block-450,8900.0,5.96,52288.7
Block-451,1500.0,5.16,7698.3
Block-452,8100.0,5.33,44603.9
Block-453,1800.0,3.17,5665.8
Block-454,1800.0,5.09,8909.3
Block-455,900.0,0.34,376.8
Block-456,8000.0,8.91,68425.0
Block-457,900.0,5.24,4739.3
Block-458,1800.0,6.52,11113.3
Block-459,316500.0,8.81,2965770.3
Block-460,900.0,2.52,2353.7
Block-461,3000.0,3.3,11018.4
Block-462,900.0,4.29,3876.1
Block-463,900.0,6.2,5544.9
Block-464,1200.0,4.75,5716.8
Block-465,900.0,1.94,1803.6
Block-466,5400.0,5.43,29518.1
Block-467,1500.0,4.07,6273.7
Block-468,15200.0,8.82,126072.2
Block-469,900.0,1.86,1640.9
Block-470,900.0,4.05,3555.3
Block-471,4000.0,6.95,26926.1
Block-472,2200.0,3.26,6941.7
Block-473,5500.0,4.81,26253.2
Block-474,5100.0,4.46,24086.4
Block-475,2400.0,5.57,13698.8
Block-476,19400.0,15.84,302046.8
Block-477,16200.0,9.31,145122.9
Block-478,5600.0,3.99,22560.8
Block-479,1200.0,6.24,7551.9
Block-480,18200.0,13.76,251227.3
Block-481,900.0,2.24,2042.1
Block-482,900.0,5.89,5345.0
Block-483,900.0,2.81,2693.1
Block-484,900.0,1.49,1305.3
Block-485,2000.0,7.24,14529.3
Block-486,900.0,2.97,2832.1
Block-487,37400.0,8.7,347336.5
Block-488,1200.0,2.06,2439.4
Block-489,1500.0,1.22,2259.9
Block-490,1200.0,5.21,6308.4
Block-491,2500.0,6.09,15007.4
Block-492,1500.0,2.93,4416.8
Block-493,7400.0,7.14,52900.8
Block-494,2000.0,3.21,6104.9
Block-495,7000.0,5.7,40736.3
Block-496,2400.0,3.15,7544.5
Block-497,9300.0,11.04,100707.6
Block-498,1600.0,1.7,2913.0
Block-499,7700.0,11.41,83307.8
Block-500,10400.0,10.46,108290.0
Block-501,1500.0,4.12,6139.4
Block-502,1400.0,4.78,6712.7
Block-503,900.0,4.95,4431.6
Block-504,1200.0,3.33,4104.5
Block-505,1500.0,3.94,6058.1
Block-506,900.0,3.35,3143.6
Block-507,1200.0,4.03,4748.8
Block-508,900.0,3.57,3169.6
Block-509,5400.0,8.3,44048.5
Block-510,26300.0,12.65,336082.7
Block-511,1700.0,7.89,11917.2
Block-512,6200.0,7.37,44391.9
Block-513,22100.0,7.85,178643.1
Block-514,900.0,4.96,4465.0
Block-515,2000.0,6.57,12914.0
Block-516,3500.0,1.77,7314.9
Block-517,1200.0,3.61,4395.3
Block-518,900.0,2.64,2349.5
Block-519,1200.0,4.28,5206.0
Block-520,900.0,5.95,5243.3
Block-521,6100.0,-1.73,1711.5
Block-522,2500.0,5.56,14756.7
Block-523,1800.0,4.5,8556.8
Block-524,900.0,4.85,4271.8
Block-525,1600.0,3.3,5468.4
Block-526,1500.0,2.4,4709.6
Block-527,2700.0,1.4,4164.9
Block-528,2800.0,7.9,21031.5
Block-529,49600.0,10.37,491432.5
Block-530,900.0,2.45,2184.0
Block-531,900.0,4.31,3889.0
Block-532,900.0,7.92,7237.8
Block-533,8000.0,12.09,90807.1
Block-534,2600.0,8.15,21012.0
Block-535,900.0,3.44,3143.0
Block-536,1200.0,4.07,4788.7
Block-537,16900.0,14.34,242121.4
Block-538,3600.0,5.83,20739.5
Block-539,36400.0,-0.78,77312.5
Block-540,900.0,5.06,4479.1
Block-541,1800.0,4.39,8387.5
Block-542,900.0,3.63,3416.3
Block-543,900.0,4.58,4119.2
Block-544,6700.0,8.12,44489.3
Block-545,9900.0,7.96,80591.6
Block-546,4700.0,4.01,18349.4
Block-547,1700.0,3.71,6208.6
Block-548,900.0,3.27,2880.3
Block-549,10100.0,9.01,89357.2
Block-550,22500.0,17.37,408089.6
Block-551,900.0,4.3,3833.6
Block-552,1847600.0,15.22,28499725.0
Block-553,52200.0,5.65,316289.0
Block-554,900.0,3.37,2946.2
Block-555,124000.0,14.58,1763071.7
Block-556,1200.0,5.53,6661.2
Block-557,1200.0,2.99,3577.0
Block-558,10400.0,8.36,87438.7
Block-559,1900.0,5.77,10730.5
Block-560,900.0,3.41,3157.8
Block-561,900.0,2.53,2283.3
Block-562,1500.0,3.29,5062.0
Block-563,900.0,2.79,2489.8
Block-564,7600.0,5.44,42376.3
Block-565,24500.0,10.56,250705.4
Block-566,5700.0,6.58,34696.1
Block-567,1700.0,3.09,5447.7
Block-568,900.0,2.94,2705.1
Block-569,26900.0,12.94,355351.0
Block-570,1400.0,2.41,3475.1
Block-571,1200.0,1.36,1653.1
Block-572,13200.0,8.79,118874.5
Block-573,15100.0,18.41,258716.3
Block-574,900.0,5.46,4922.8
Block-575,3300.0,5.62,18104.5
Block-576,4300.0,4.25,19611.1
Block-577,3100.0,7.46,22362.1
Block-578,900.0,5.09,4502.2
Block-579,12200.0,13.46,157998.8
Block-580,900.0,4.7,4230.1
Block-581,900.0,3.48,3186.8
Block-582,20500.0,12.93,262248.9
Block-583,900.0,3.88,3657.0
Block-584,2100.0,4.65,9256.7
Block-585,18200.0,10.0,180752.9
Block-586,9300.0,10.02,94111.6
Block-587,5600.0,9.52,53765.4
Block-588,1200.0,4.19,5090.3
Block-589,900.0,5.92,5250.5
Block-590,434100.0,22.71,10149786.7
Block-591,900.0,7.75,6990.2
Block-592,900.0,2.71,2479.4
Block-593,1400.0,4.29,5922.1
Block-594,900.0,2.03,1851.0
Block-595,23400.0,15.79,348952.3
Block-596,900.0,3.57,3212.0
Block-597,3400.0,7.01,24590.1
Block-598,13500.0,9.87,131385.9
Block-599,900.0,2.04,1886.5
Block-600,900.0,1.4,1345.9
Block-601,77200.0,12.21,992939.2
Block-602,1500.0,2.84,4396.3
Block-603,1200.0,2.39,2962.0
Block-604,2900.0,8.66,24393.5
Block-605,900.0,4.23,3762.4
Block-606,24100.0,18.8,452021.5
Block-607,1900.0,3.21,6485.4
Block-608,1200.0,3.74,4511.4
Block-609,27400.0,12.2,358520.2
Block-610,497100.0,14.1,7079235.2
Block-611,1200.0,4.7,5479.6
Block-612,42500.0,7.98,342653.9
Block-613,12400.0,11.45,140225.3
Block-614,50100.0,9.47,462093.4
Block-615,4600.0,8.64,41371.7
Block-616,1800.0,4.89,8829.5
Block-617,8700.0,8.83,78816.8
Block-618,1200.0,8.33,9562.0
Block-619,2400.0,6.09,14939.8
Block-620,195500.0,17.4,3490073.4
Block-621,1200.0,4.44,5307.5
Block-622,900.0,4.38,3870.0
Block-623,21800.0,9.59,203686.6
Block-624,1600.0,4.45,7107.8
Block-625,4100.0,3.13,14264.0
Block-626,900.0,1.52,1429.4
Block-627,2400.0,6.08,14542.1
Block-628,900.0,6.0,5383.5
Block-629,900.0,5.26,4759.1
Block-630,900.0,4.76,4315.0
Block-631,1200.0,4.0,4808.3
Block-632,150300.0,15.38,2260450.2
Block-633,900.0,2.72,2508.4
Block-634,12900.0,7.85,100145.6
Block-635,900.0,2.98,2741.1
Block-636,8500.0,9.33,78422.2
Block-637,114900.0,17.0,2015863.3
Block-638,3400.0,3.88,14065.4
Block-639,900.0,5.84,5123.3
Block-640,1200.0,7.69,9302.2
Block-641,4000.0,6.88,26025.3
Block-642,2800.0,2.07,6503.3
Block-643,900.0,2.98,2661.0
Block-644,900.0,3.74,3330.9
