Block,Area_m2,MeanDepth_m,Volume_m3
Block-395,6200.0,9.67,58441.6
Block-396,2900.0,3.26,9533.9
Block-397,4400.0,5.74,25618.1
Block-398,5500.0,5.01,27964.7
Block-399,4400.0,4.57,19771.9
Block-400,900.0,2.81,2473.9
Block-401,900.0,3.08,2809.2
Block-402,6100.0,0.05,6761.7
Block-403,26200.0,1.73,77973.8
Block-404,8300.0,9.29,78414.4
Block-405,3100.0,5.37,16076.9
Block-406,1200.0,6.38,7598.9
Block-407,900.0,2.23,2063.2
Block-408,5300.0,11.75,58515.9
Block-409,900.0,4.56,4096.6
Block-410,1900.0,2.76,5167.4
Block-411,5800.0,7.64,43903.9
Block-412,1200.0,4.56,5436.7
Block-413,9600.0,4.73,48256.5
Block-414,6300.0,6.44,39780.4
Block-415,55300.0,13.34,701220.3
Block-416,1500.0,6.36,9552.7
Block-417,1500.0,6.36,8992.8
Block-418,1400.0,4.24,6088.5
Block-419,900.0,3.71,3257.2
Block-420,23800.0,9.72,239233.7
Block-421,900.0,3.56,3180.3
Block-422,3000.0,4.42,13383.8
Block-423,900.0,1.56,1489.7
Block-424,1400.0,3.8,5198.6
Block-425,900.0,3.94,3562.3
Block-426,900.0,3.33,3055.2
Block-427,900.0,6.1,5475.4
Block-428,900.0,4.24,3780.7
Block-429,1400.0,7.34,10195.7
Block-430,4600.0,6.48,30199.5
Block-431,1200.0,7.26,8576.5
Block-432,1500.0,5.86,8814.2
Block-433,6600.0,2.84,18471.3
Block-434,1500.0,3.0,4560.6
Block-435,900.0,2.83,2541.7
Block-436,900.0,4.13,3753.6
Block-437,2000.0,5.41,10551.5
Block-438,9400.0,8.43,79008.9
Block-439,3300.0,3.89,12884.1
Block-440,1200.0,3.31,4181.4
Block-441,2800.0,5.06,14283.2
Block-442,1800.0,2.64,5099.8
Block-443,3100.0,5.77,17303.0
Block-444,4600.0,5.51,25937.9
Block-445,18900.0,5.4,101783.1
Block-446,3200.0,4.08,13038.5
Block-447,34500.0,9.62,334806.0
Block-448,2000.0,5.02,9967.5
Block-449,5900.0,5.38,31457.5
Block-450,117200.0,8.63,1064458.0
Block-451,2300.0,3.51,8005.3
Block-452,18500.0,10.45,188851.4
Block-453,1400.0,2.82,3992.3
Block-454,4600.0,5.47,26176.8
Block-455,1400.0,3.59,5006.8
Block-456,3100.0,2.77,7740.0
Block-457,5000.0,5.67,27530.9
Block-458,900.0,3.8,3339.7
Block-459,1900.0,4.72,9305.9
Block-460,325800.0,10.75,3502337.5
Block-461,1500.0,8.48,12828.6
Block-462,3200.0,7.72,24019.3
Block-463,6700.0,3.27,27380.5
Block-464,3000.0,5.57,16414.9
Block-465,1500.0,2.78,4384.7
Block-466,19500.0,7.76,146760.3
Block-467,900.0,6.35,5682.7
Block-468,7500.0,5.35,44041.0
Block-469,25300.0,13.93,323174.0
Block-470,900.0,2.24,2024.8
Block-471,1800.0,3.89,6689.1
Block-472,900.0,4.45,3972.6
Block-473,900.0,2.87,2497.5
Block-474,8600.0,8.68,73333.8
Block-475,6800.0,6.63,47344.5
Block-476,5900.0,6.73,43769.2
Block-477,4900.0,4.83,23369.7
Block-478,96000.0,9.13,912984.6
Block-479,5600.0,3.67,21195.8
Block-480,3300.0,3.88,13809.8
Block-481,900.0,4.01,3556.6
Block-482,2400.0,5.06,12212.3
Block-483,12500.0,6.44,88021.9
Block-484,900.0,3.11,2784.4
Block-485,900.0,3.37,3020.2
Block-486,3000.0,5.59,15614.2
Block-487,7100.0,7.32,49539.8
Block-488,18000.0,10.62,222585.0
Block-489,2400.0,4.49,10596.0
Block-490,1500.0,7.34,11092.2
Block-491,1500.0,5.56,7550.3
Block-492,2200.0,9.39,21447.8
Block-493,4400.0,11.0,47268.2
Block-494,2200.0,0.71,2257.3
Block-495,15700.0,13.48,203029.2
Block-496,2100.0,5.67,12805.3
Block-497,66700.0,9.31,636453.8
Block-498,17300.0,6.29,109525.5
Block-499,2100.0,4.46,9545.4
Block-500,1600.0,4.25,6567.7
Block-501,2000.0,4.54,10070.6
Block-502,1200.0,2.51,2968.6
Block-503,44400.0,9.81,442365.5
